,Model,label,raw,block,canon,difficulty_score,normal_mean,expert_mean,average_mean,mean_diff_normed,ranking_1,ranking_2,ranking_3,ranking_4,ranking_5,ranking_6,ranking_7,expert_1,expert_2
0,Anthropic: Claude Opus 4.1 - Multiple Context - Extended Thinking 9000t (2025-09-11),ladder,Ladder,1,Ladder,0.4751185628015861,5.0,5.0,5.0,2.6244071859920695,5.0,5.0,5.0,5.0,5.0,5.0,,5.0,5.0
1,Anthropic: Claude Opus 4.1 - Multiple Context - Extended Thinking 9000t (2025-09-11),ladder,Ladder,2,Ladder,0.6610531487654556,4.5,5.0,4.75,1.6099975433640858,5.0,4.0,4.0,5.0,4.0,5.0,,5.0,5.0
2,Anthropic: Claude Opus 4.1 - Multiple Context - Extended Thinking 9000t (2025-09-11),bunny ears,Bunny ears,3,Glasses,0.6845673981674806,1.4,1.5,1.45,0.45737727265715317,3.0,1.0,1.0,1.0,1.0,,,1.0,2.0
3,Anthropic: Claude Opus 4.1 - Multiple Context - Extended Thinking 9000t (2025-09-11),eyeglasses,Eyeglasses,4,Glasses,0.5468725449723439,3.0,4.5,3.75,1.6992279563537103,1.0,5.0,4.0,3.0,2.0,2.0,4.0,5.0,4.0
4,Anthropic: Claude Opus 4.1 - Multiple Context - Extended Thinking 9000t (2025-09-11),butterfly wings,Butterfly wings,5,Glasses,0.5451123909099757,1.0,1.5,1.25,0.5686095113625305,1.0,1.0,1.0,1.0,1.0,,,1.0,2.0
5,Anthropic: Claude Opus 4.1 - Multiple Context - Extended Thinking 9000t (2025-09-11),eyeglasses,Eyeglasses,6,Glasses,0.6296458064862441,3.1666666666666665,5.0,4.083333333333333,1.512279623514503,4.0,2.0,3.0,5.0,3.0,2.0,,5.0,5.0
6,Anthropic: Claude Opus 4.1 - Multiple Context - Extended Thinking 9000t (2025-09-11),christmas tree,Christmas tree,7,Pine Tree,0.5548532022011824,2.25,4.0,3.125,1.391083743121305,3.0,1.0,2.0,3.0,,,,4.0,4.0
7,Anthropic: Claude Opus 4.1 - Multiple Context - Extended Thinking 9000t (2025-09-11),human figure,Human figure,8,Butterfly,0.6411043581205884,1.0,1.0,1.0,0.3588956418794116,1.0,1.0,1.0,1.0,,,,1.0,1.0
8,Anthropic: Claude Opus 4.1 - Multiple Context - Extended Thinking 9000t (2025-09-11),heart,heart,9,Butterfly,0.6425347026663212,1.0,1.0,1.0,0.3574652973336788,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0
9,Anthropic: Claude Opus 4.1 - Multiple Context - Extended Thinking 9000t (2025-09-11),comb,comb,10,Comb - Pitchfork,0.6756697358651155,1.2,3.0,2.1,0.6810935546832575,1.0,1.0,1.0,2.0,1.0,,,1.0,5.0
10,Anthropic: Claude Opus 4.1 - Multiple Context - Extended Thinking 9000t (2025-09-11),pitchfork,Pitchfork,11,Comb - Pitchfork,0.6226273261756372,4.5,5.0,4.75,1.7925202006657233,4.0,5.0,4.0,5.0,4.0,5.0,,5.0,5.0
11,Anthropic: Claude Opus 4.1 - Multiple Context - Extended Thinking 9000t (2025-09-11),umbrella,Umbrella,12,Goblet,0.6350097299355925,1.5,1.5,1.5,0.5474854050966114,1.0,1.0,1.0,1.0,2.0,3.0,,1.0,2.0
12,Anthropic: Claude Opus 4.1 - Multiple Context - Extended Thinking 9000t (2025-09-11),mushroom,Mushroom,13,Goblet,0.6759272535859652,1.1428571428571428,2.0,1.5714285714285714,0.5092571729363404,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0
13,Anthropic: Claude Opus 4.1 - Multiple Context - Extended Thinking 9000t (2025-09-11),skull,Skull,14,Computer Mouse,0.7418457479906454,2.0,2.0,2.0,0.5163085040187092,1.0,1.0,3.0,2.0,3.0,2.0,,3.0,1.0
14,Anthropic: Claude Opus 4.1 - Multiple Context - Extended Thinking 9000t (2025-09-11),house,House,15,House,0.5604145691220367,3.6666666666666665,4.5,4.083333333333333,1.7949738427516835,3.0,5.0,4.0,3.0,3.0,4.0,,5.0,4.0
15,Anthropic: Claude Opus 4.1 - Multiple Context - Extended Thinking 9000t (2025-09-11),house,House,60,House,0.5476538878373272,3.5,5.0,4.25,1.9224709766913595,4.0,4.0,4.0,2.0,4.0,3.0,,5.0,5.0
16,Anthropic: Claude Opus 4.1 - Multiple Context - Extended Thinking 9000t (2025-09-11),heart,heart,16,Ice cream,0.5213069155657604,1.1666666666666667,1.0,1.0833333333333335,0.5185841748037596,1.0,1.0,2.0,1.0,1.0,1.0,,1.0,1.0
17,Anthropic: Claude Opus 4.1 - Multiple Context - Extended Thinking 9000t (2025-09-11),umbrella,Umbrella,17,Ice cream,0.6339653089357414,2.0,1.5,1.75,0.6405607093624525,2.0,1.0,5.0,1.0,1.0,,,1.0,2.0
18,Anthropic: Claude Opus 4.1 - Multiple Context - Extended Thinking 9000t (2025-09-11),ice cream,Ice cream,18,Ice cream,0.6847597069012321,4.0,4.0,4.0,1.2609611723950716,5.0,3.0,5.0,5.0,1.0,5.0,,5.0,3.0
19,Anthropic: Claude Opus 4.1 - Multiple Context - Extended Thinking 9000t (2025-09-11),southeast direction,Southeast direction,19,Computer Mouse,0.859309544470196,1.4,1.0,1.2,0.16882854663576477,2.0,1.0,2.0,1.0,1.0,,,1.0,1.0
20,Anthropic: Claude Opus 4.1 - Multiple Context - Extended Thinking 9000t (2025-09-11),ice cream,Ice cream,20,Crystal ball - Person Outline,0.6219390375192231,1.4,2.0,1.7,0.6427036362173207,1.0,2.0,1.0,2.0,1.0,,,2.0,2.0
21,Anthropic: Claude Opus 4.1 - Multiple Context - Extended Thinking 9000t (2025-09-11),letter b,Letter B,21,Crystal ball - Person Outline,0.7380031106155932,1.6,1.5,1.55,0.40609517854583055,1.0,1.0,4.0,1.0,1.0,,,2.0,1.0
22,Anthropic: Claude Opus 4.1 - Multiple Context - Extended Thinking 9000t (2025-09-11),ice cream,Ice cream,22,Fish,0.7208342020855323,1.0,1.0,1.0,0.2791657979144677,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0
23,Anthropic: Claude Opus 4.1 - Multiple Context - Extended Thinking 9000t (2025-09-11),magnifying glass,Magnifying glass,23,Lollipop,0.6343711397762843,2.5714285714285716,3.5,3.0357142857142856,1.1099447542505654,1.0,3.0,2.0,4.0,1.0,3.0,4.0,4.0,3.0
24,Anthropic: Claude Opus 4.1 - Multiple Context - Extended Thinking 9000t (2025-09-11),coat hook,Coat hook,24,Chair,0.6122911911027547,2.3333333333333335,2.5,2.416666666666667,0.9369629548350097,4.0,2.0,2.0,1.0,2.0,3.0,,2.0,3.0
25,Anthropic: Claude Opus 4.1 - Multiple Context - Extended Thinking 9000t (2025-09-11),tuning fork,Tuning fork,25,Chair,0.5452904006405492,2.5,3.5,3.0,1.3641287980783523,3.0,2.0,2.0,1.0,3.0,4.0,,3.0,4.0
26,Anthropic: Claude Opus 4.1 - Multiple Context - Extended Thinking 9000t (2025-09-11),letter f,Letter F,26,Flag,0.5048827596669067,1.2,1.0,1.1,0.5446289643664027,1.0,1.0,1.0,1.0,2.0,,,1.0,1.0
27,Anthropic: Claude Opus 4.1 - Multiple Context - Extended Thinking 9000t (2025-09-11),battery symbol,Battery symbol,27,Door,0.6329439046769518,2.8333333333333335,2.0,2.416666666666667,0.8870522303640331,3.0,1.0,2.0,3.0,3.0,5.0,,1.0,3.0
28,Anthropic: Claude Opus 4.1 - Multiple Context - Extended Thinking 9000t (2025-09-11),eyeglasses,Eyeglasses,28,Glasses,0.6597435356665721,3.5,5.0,4.25,1.4460899734170687,3.0,4.0,2.0,5.0,3.0,4.0,,5.0,5.0
29,Anthropic: Claude Opus 4.1 - Multiple Context - Extended Thinking 9000t (2025-09-11),letter b,Letter B,29,Shovel,0.5969217655525534,1.0,1.0,1.0,0.4030782344474466,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0
30,Anthropic: Claude Opus 4.1 - Multiple Context - Extended Thinking 9000t (2025-09-11),bed,Bed,30,Fish bones,0.7482943265112354,1.5,1.0,1.25,0.31463209186095575,1.0,1.0,1.0,4.0,1.0,1.0,,1.0,1.0
31,Anthropic: Claude Opus 4.1 - Multiple Context - Extended Thinking 9000t (2025-09-11),stick figure,Stick figure,31,Balloon,0.7324644726199256,3.4285714285714284,2.5,2.9642857142857144,0.7930517418766491,3.0,1.0,5.0,4.0,3.0,5.0,3.0,2.0,3.0
32,Anthropic: Claude Opus 4.1 - Multiple Context - Extended Thinking 9000t (2025-09-11),mushroom,Mushroom,32,Goblet,0.6384694570046723,1.3333333333333333,2.0,1.6666666666666665,0.6025509049922129,1.0,3.0,1.0,1.0,1.0,1.0,,1.0,3.0
33,Anthropic: Claude Opus 4.1 - Multiple Context - Extended Thinking 9000t (2025-09-11),umbrella,Umbrella,33,Plunger,0.6658658756083077,1.4285714285714286,1.5,1.4642857142857144,0.48926782500212096,3.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0
