Model,001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,060,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
Anthropic: Claude Opus 4.1 - Multiple Context - Extended Thinking 9000t (2025-09-11),Ladder,Ladder,Bunny ears,Eyeglasses,Butterfly wings,Eyeglasses,Christmas tree,Human figure,heart,comb,Pitchfork,Umbrella,Mushroom,Skull,House,House,heart,Umbrella,Ice cream,Southeast direction,Ice cream,Letter B,Ice cream,Magnifying glass,Coat hook,Tuning fork,Letter F,Battery symbol,Eyeglasses,Letter B,Bed,Stick figure,Mushroom,Umbrella,Bow tie,Bikini top,Downward arrow,Stick figure,Ice cream,Dragon fly,Table frame,padlock,window pane,Apple stem,Dollar sign,Stick figure,Spade symbol,Dollar sign,Cross,Ice cream,Stick figure,Stick figure,Letter F,Sailboat,Music note,Downward arrow,Clock,Hourglass,Umbrella,Upward arrow
Anthropic: Claude Sonnet 4 - Multiple Context - Extended Thinking 4000t (2025-09-11),Ladder,Sideways ladder,Handlebar mustache,Figure eight,Eyeglasses,Eyeglasses,Arrow shaft,Ship anchor,Ship anchor,Pitchfork,rake,Umbrella,Mushroom,Horseshoe magnet,Yield sign,house,church bell,Wishbone,Umbrella,key,key,Magnifying glass,Play button,Dollar sign,Staple,Boot heel,Stick figure,Backwards F,Bicycle handlebars,Magnifying glass,comb,Stick figure,Umbrella,Horseshoe magnet,Bow tie,Heart,Pitchfork,Stick figure,face,Stick figure,Side chair,key,window pane,Key,Dollar sign,Magnifying glass,heart,Key,Cross,Bikini top,Stick figure,Stick figure,flagpole,Hanging lamp,key,Downward arrow,Flag pole,Railroad crossing,Umbrella,house
Anthropic: Claude Sonnet 4 - Single Context - Extended Thinking 4000t (2025-09-11),Ladder,Ladder,Barbell,Eyeglasses,Eyeglasses,Butterfly,Arrow,Cheerleader,Cactus,Pitchfork,Pitchfork,Hammer,Table,Owl face,House,House,Bell,Bell,Key,Key,Mushroom,Mushroom,Ice cream,Lollipop,Bucket,Shelf bracket,Flag,Picture frame,Butterfly,Table,Comb,Umbrella,Bell,Hammer,Butterfly,Butterfly,Telephone pole,Stick figure,Owl face,Owl face,Key,Key,Tic-tac-toe,Musical note,Swan,Golf club,Handlebars,Key,Hammer,Sad face,Stick figure,House,Coat rack,Hammer,Hockey stick,Arrow,Clock,Railroad crossing,Umbrella,House
DeepMind: Gemini 2.0 Flash - Multiple Context (2025-07-21),Stacked H's,Ladder rungs,bed,bed,Pregnant woman,glasses,hourglass,butterfly,heart,broken comb,Goal post,lying person,hammer,toilet seat,house,house,Paper airplane,Slingshot frame,sailboat,USD symbol,Balloon animal,Lollipop stand,heart,sculpture,Tuning fork,Open box,Check mark,ladder,eyeglasses,ladder,bed,lollipop,Hammerhead shark,anchor,Bow tie,Owl face,Fishing rod,Bubble pipe,Snowman face,Love knot,keyhole,Paperclip holder,grid,Snake donut,swan,hanging target,hourglass,Dollar sign,Plus sign,heart arrow,Wine glass,keyhole,crosshair,Golf club,Paperclip,arrowhead,Partial logo.,hashtag,Hanging scale,arrowhead
DeepMind: Gemini 2.0 Flash - Single Context (2025-07-21),Ladder rungs,fence,heart,Belly button,Belly button,Handcuffs,hourglass,hourglass,Cat ears,comb teeth,Goal post,Question mark,mushroom cloud,Baby carriage,house,house,Ice cream,Ice cream,butterfly wings,Teapot,Speech bubble,pregnant woman,ice cream,Caduceus,Gun barrel,hammer head,Lightning bolt,Gate latch,eyeglasses,bed,Prison bars,lollipop,Lollipop,umbrella,Bow tie,heart,Dowsing rod,dumbbell,Snowman face,Bow tie,Tuning fork,Paper clip,hashtag,snake charmer,swan neck,Fishing pole,Yin yang,teapot,Goal post,heart,Martini glass,Robot arm,Picket fence,sailboat,Golf club,christmas tree,balloon string,windmill blades,Fishing hook,house
DeepMind: Gemini 2.0 Flash w/ Images - Multiple Context (2025-07-25),Stacked letters,Ladder,Dumbbell,Stacked letters,Joined letters,Bow tie,Skewered chevron,Abstract glyph,Stylized emblem,barcode,rotated table,Stylized letter,monogram,Stylized initials,Pennant flag,roof,hourglass,hanging lantern,harp,Abstract logo.,glasses,sideways headphones,Stylized letter.,staff,inverted chair,Rotated letter.,Stylized letter,barcode,eyeglasses,Stacked letters,Stylized initials,Tuning fork,upside-down table,key,hourglass,Bow tie,spearhead,eyeglasses,Ice cream,glasses,"Backwards ""F"" and ""P""",Stylized initial.,Stylized letter.,Computer mouse,Stylized logo,Overlapping letters,Overlapping fives,Abstract logo,T-square,owl,inverted trident,Abstract logo,inverted T,Stylized number,Stylized initial,road sign,partial clock,Tilted letter,Stylized monogram,house
DeepMind: Gemini 2.5 Pro - Multiple Context - Dynamic Thinking (2025-07-21),ladder,Three-rung ladder,bed,bed,bed,snail,arrow,Winged Scepter,Butterfly,Cyrillic letter,Milking stool,mushroom,arched window,face,cut diamond,wireframe cube,Ice cream,heart,Ice cream,skeleton key,person icon,keyhole,Rewind button,Magnifying glass,Robot claw,Broken hurdle,Sailboat,door handle,bucket,bed,skeleton key,Stick figure,anchor,Magnifying glass,heart,Cat face,anchor,key,clubs symbol,owl,Letter B,Shopping cart,window pane,Royal scepter,Coffee cup,sitting person,anchor chalice,key,sledge hammer,broken heart,Stick figure,Birdhouse,Shelf bracket,sailboat,skeleton key,Planted sword,Verified icon,Letter Z,anchor,arrow
DeepMind: Gemini 2.5 Pro - Single Context - Dynamic Thinking (2025-07-21),ladder,Ladder,Dumbbell,Dumbbell,Dumbbell,eyeglasses,Fletched arrow,Butterfly,Butterfly,Trident,Trident,Skeleton key,Skeleton key,eyes,house,house,Guitar pick,Guitar pick,Guitar pick,key,Lightbulb,Keyhole,Play button,Magnifying glass,Comb,Skeleton key,Letter K,Bookshelf,Eyeglasses,Chalice,Train car,Female symbol,Chalice,Keyhole,Butterfly,Butterfly,Broadcast tower,Stick figure,Gift bow,Gift bow,Letter R,Letter R,Bookshelf,Cartoon bomb,Smoking pipe,Magnifying glass,heart,key,Anchor,Ice cream,Stick figure,Medal,Flagpole,Bell,key,Spade symbol,checkmark,Hourglass,Anchor,up arrow
OpenAI: ChatGPT-4o - Multiple Context (2025-07-25),ladder structure,Train tracks,butterfly wings,owl eyes,glasses,Steering wheel,Rocket exhaust,butterfly,Butterfly,trident,Pitchfork,Wine glass,Magnifying glass,Bear face,house,house,Fish hook,Slingshot frame,Speech balloon,Mechanical arm,Magnifying glass,Music note,Padlock keyhole,Keyhole,Pipe fitting,pipe wrench,Arrow sign,Staple remover,eyeglasses,Door hinge,Goal post,Stick figure,Mushroom anchor,Magnifying glass,Butterfly mask,Owl face,Slingshot frame,Bowtie person,Owl face,Abstract person,Flagpole sign,chair,ladder,Dollar sign,Snake eye,Magnifying glass,Butterfly wings,Musical clef,Flagpole sign,Owl face,Upside-down tree,figure,Flagpole signpost,Flag bracket,music clef,anchor,Broken arrow,hourglass,Elephant trunk,Campfire tripod
OpenAI: ChatGPT-4o - Single Context (2025-07-25),ladder,ladder,butterfly,butterfly,butterfly wings,Insect head,hourglass,butterfly,Butterfly,trident,Trident,Magnifying glass,mushroom,Butterfly cradle,shield,house,Magnifying glass,Chalice,Magnifying glass,butterfly,Magnifying glass,Magnifying glass,Magnifying glass,Keyhole,pickaxe,pickaxe,Signpost,Window frame,Insect head,keyhole,Keyhole,Stick figure,Keyhole,Keyhole,Butterfly,Butterfly,Location marker,butterfly,butterfly,butterfly,keyhole,Magnifying glass,Window frame,keyhole,butterfly,Magnifying glass,butterfly,butterfly,signpost,butterfly,tree,crest,flagpole,keyhole,Treble clef,Location marker,arrow,kite,Umbrella,arrow
